Device;Net1;Net2;Capacitance [fF];Resistance [Î©]
C1;LOWER_FullHaloOverlap;LOWER_NoHaloOverlap_InsideTop;0.126;
C2;LOWER_FullHaloOverlap;LOWER_OutsideHalo;0.101;
C3;LOWER_FullHaloOverlap;LOWER_PartialSideHaloOverlap_BothSides_separated;0.001;
C4;LOWER_FullHaloOverlap;LOWER_PartialSideHaloOverlap_Separated;0.248;
C5;LOWER_FullHaloOverlap;UPPER;262.817;
C6;LOWER_FullHaloOverlap;VSUBS;177.601;
C7;LOWER_NoHaloOverlap_InsideTop;LOWER_OutsideHalo;0.063;
C8;LOWER_NoHaloOverlap_InsideTop;LOWER_PartialSideHaloOverlap_Touching;0.063;
C9;LOWER_NoHaloOverlap_InsideTop;UPPER;146.991;
C10;LOWER_NoHaloOverlap_InsideTop;VSUBS;51.994;
C11;LOWER_OutsideHalo;UPPER;0.076;
C12;LOWER_OutsideHalo;VSUBS;73.274;
C13;LOWER_PartialSideHaloOverlap_BothSides_separated;UPPER;0.261;
C14;LOWER_PartialSideHaloOverlap_BothSides_separated;VSUBS;7.931;
C15;LOWER_PartialSideHaloOverlap_Separated;UPPER;0.149;
C16;LOWER_PartialSideHaloOverlap_Separated;VSUBS;90.618;
C17;LOWER_PartialSideHaloOverlap_Touching;UPPER;32.159;
C18;LOWER_PartialSideHaloOverlap_Touching;VSUBS;13.637;
C19;UPPER;VSUBS;214.85;
